Method,Endpoint,Purpose,Input,Output,Screen,Comments
POST,/api/auth/send-email-otp,Send OTP to user's email,{ email: string },"{ success: boolean, message: string }",Signup,
POST,/api/auth/verify-email-otp,Verify OTP sent to email,"{ email: string, otp: string }","{ success: boolean, message: string }",Signup,
POST,/api/auth/send-mobile-otp,,{ mobile: string },"{ success: boolean, message: string }",Signup,
POST,/api/auth/verify-mobile-otp,Send OTP to user's mobile number,"{ mobile: string, otp: string }","{ success: boolean, message: string }",Signup,
POST,/api/auth/signup,Register new user,"{ name, email, mobile, password }","{ success: boolean, user, token }",Signup,
POST,/api/auth/login,Login with email/mobile & password,"{ emailOrMobile, password }","{ success: boolean, user, token }",Signin,
POST,/api/auth/logout (optional),Logout user,Token in Authorization header,{ success: boolean },Signin/Profile,
POST,/api/auth/forgot-password,Initiate password reset,{ email: string },"{ success: boolean, message: string }",Signin (Forgot),
POST,/api/auth/reset-password,Complete password reset,"{ email, otp, newPassword }","{ success: boolean, message: string }",Signin (Reset),
,,,,,,
Method,Endpoint,Purpose,Input Fields (summary),Output,Screen (Step),
PATCH,/api/partner/business-details,Update Business Details,"name, typeOfProvider[], gstin, years, website, regNumber, address, employees, seasonal, annualBookings","{ success: boolean, message: string }",Step 1 – Business,
GET,/api/partner/business-details,Fetch Business Details,Token,"{ success: true, data: object }",Step 1 – Business,
PATCH,/api/partner/location-coverage,Update Location & Coverage Info,"primaryLocation, destinations[], languages[], regions[], panIndia, seasons[], timezone","{ success: boolean, message: string }",Step 2 – Location,
GET,/api/partner/location-coverage,Fetch Location & Coverage Info,Token,"{ success: true, data: object }",Step 2 – Location,
PATCH,/api/partner/tours-services,Update Tours & Services Overview,"numberOfTours, typesOfTours[], customTourType, minPrice, groupSizeMin, groupSizeMax, preference, offersCustomTours","{ success: boolean, message: string }",Step 3 – Tours,
GET,/api/partner/tours-services,Fetch Tours & Services Overview,Token,"{ success: true, data: object }",Step 3 – Tours,
PATCH,/api/partner/legal-banking,Update Legal & Banking Info,"panOrAadhaar, businessProofFile, licenseNumber, companyType, emergencyContact, termsAccepted","{ success: boolean, message: string }",Step 4 – Legal,
GET,/api/partner/legal-banking,Fetch Legal & Banking Info,Token,"{ success: true, data: object }",Step 4 – Legal,
GET,/api/partner/status,Get Step Completion Status,Token,"{ completedSteps: number[], isVerified: boolean }",Step 5 – Success,
POST,/api/partner/complete-onboarding,Mark Profile as Complete (Optional),Token,"{ success: boolean, message: string }",Step 5 – Success,
,,,,,,
Method,Endpoint,Purpose,Input,Output,Screen,
GET,/api/common/destinations,Autocomplete for destinations,?search=,"{ results: [{ name, id }] }",Step 2,
GET,/api/common/languages,Fetch available language options,—,"{ results: [ ""English"", ... ] }",Step 2,
GET,/api/common/tour-types,Fetch all tour types,—,"{ results: [ ""Adventure"", ... ] }",Step 3,
GET,/api/common/timezones,Fetch timezone list,—,"{ results: [ ""Asia/Kolkata"", ... ] }",Step 2,
